x,y
1.914000576491384209e+03,4.529985387931344007e+02
1.909497582017214881e+03,4.575173474431741738e+02
1.904992487571219726e+03,4.619757465563903338e+02
1.899087752818669287e+03,4.659035653374966159e+02
1.893763366707837122e+03,4.712366569230060804e+02
1.888437019439448250e+03,4.765649949284784270e+02
1.883110651737722947e+03,4.818932888337664053e+02
1.876860544828523871e+03,4.849911367481066691e+02
1.869334410778355050e+03,4.850090721101918234e+02
1.862313316906464706e+03,4.864345510800752095e+02
1.859232310903914822e+03,4.927613489154099398e+02
1.856078873635867012e+03,4.989878318468639691e+02
1.851751911959529480e+03,5.039905857709599104e+02
1.845463044006444306e+03,5.070010621713000205e+02
1.839178598519675234e+03,5.100163297386547470e+02
1.833792082351158115e+03,5.151993961187944251e+02
1.828470664110001508e+03,5.205396227943239182e+02
1.823154720134409899e+03,5.258930655153488942e+02
1.816949458590191853e+03,5.290995063416205539e+02
1.810727403793060830e+03,5.322643951653107024e+02
1.806058096224543760e+03,5.366985948914757500e+02
1.804998460426896372e+03,5.437923212980557537e+02
1.804862868065470366e+03,5.513203053480729068e+02
1.798562012962244353e+03,5.544315246081534951e+02
1.792364016219929681e+03,5.576557406177219036e+02
1.789005198585296966e+03,5.632006169081474809e+02
1.787056434763376728e+03,5.699266285111467596e+02
1.781732764408298181e+03,5.752548565245361942e+02
1.776431952188283503e+03,5.805926009062827688e+02
1.772948419357064267e+03,5.866830469791315181e+02
1.773000459863625338e+03,5.942382478927257807e+02
1.771037600295107723e+03,6.009651624639228658e+02
1.765110685533424430e+03,6.048315830837042313e+02
1.759187216180920132e+03,6.087179964091365036e+02
1.753264123062025874e+03,6.126088566769832369e+02
1.749101597976951780e+03,6.179051039810802877e+02
1.749060445297623119e+03,6.254216729011136522e+02
1.745992097274385969e+03,6.316842180650334058e+02
1.742964060114549966e+03,6.379633764282098127e+02
1.737696375994516757e+03,6.433148427797495970e+02
1.733822658509815028e+03,6.492437090170667489e+02
1.733000834622313505e+03,6.564367109732618246e+02
1.732991177667344573e+03,6.639661234878232108e+02
1.730524840797823572e+03,6.704779458633680633e+02
1.727308786605650084e+03,6.766792251559239730e+02
1.724130478471365223e+03,6.828961393775830402e+02
1.721030266016640326e+03,6.891454018888781548e+02
1.717689717882643436e+03,6.952951141022979300e+02
1.712383711841447621e+03,7.006307069942812404e+02
1.707993096921334882e+03,7.063454673034938196e+02
1.703992943281986072e+03,7.122219619707800575e+02
1.700001232490226585e+03,7.181019537800427770e+02
1.696022151118248530e+03,7.239871768662640079e+02
1.692991616499587280e+03,7.302653008822544507e+02
1.693007951076375775e+03,7.378054794417762423e+02
1.692072809648284419e+03,7.449515437358047620e+02
1.686729102389264654e+03,7.502715202720480647e+02
1.681398295738339812e+03,7.555968404151269624e+02
1.676945372649604678e+03,7.612857918358491816e+02
1.675002417437239956e+03,7.680144059920816062e+02
1.673056956692921631e+03,7.747419823257926055e+02
1.670743462553695963e+03,7.813171125629817197e+02
1.668992696887660941e+03,7.881275990851650022e+02
1.668981036096241723e+03,7.956576338758620750e+02
1.665635366460359137e+03,8.009989927871392865e+02
1.659344629445914734e+03,8.040056518834110193e+02
1.654006022591459441e+03,8.079614722943413199e+02
1.652991611240624479e+03,8.150640854130687103e+02
1.652967052262724792e+03,8.225872760101951826e+02
1.651008020820846923e+03,8.293092218305854431e+02
1.647996965990146691e+03,8.355954148004611852e+02
1.644965808123214174e+03,8.418732806584935133e+02
1.641859164359850411e+03,8.481198792345277297e+02
1.638676872567889632e+03,8.543351433711496838e+02
1.635460079399662391e+03,8.605361165698012655e+02
1.632250734570230634e+03,8.667401749713993695e+02
1.629796710683537867e+03,8.732570975514245220e+02
1.628977915419442979e+03,8.804513540045102218e+02
1.629008819683943784e+03,8.879975675262826371e+02
1.626506574257532520e+03,8.944945160905581361e+02
1.623291981212909377e+03,9.006964006102450639e+02
1.620118675492582497e+03,9.069153868996104393e+02
1.617025842157271427e+03,9.131677059422453340e+02
1.613713609133750651e+03,9.193291466584437330e+02
1.608377610991982237e+03,9.246523164156059238e+02
1.604959391602659707e+03,9.307698561416638086e+02
1.605061605833813928e+03,9.383456072187547079e+02
1.602973814122004796e+03,9.450142281325943259e+02
1.600481090606924454e+03,9.515151208016825422e+02
1.598011282235039744e+03,9.580255052338660562e+02
1.594710741348102147e+03,9.641917889916110198e+02
1.590824121731044215e+03,9.701153109907203316e+02
1.586939272611254637e+03,9.760395663538113240e+02
1.583051334635753847e+03,9.819625422709742679e+02
1.579829874792698092e+03,9.881615824696207255e+02
1.576638040468182453e+03,9.943728939598393026e+02
1.573532307188298546e+03,1.000619869670478806e+03
1.569633490765493889e+03,1.006538339587230666e+03
1.565721423838174587e+03,1.012451320965304149e+03
1.561799994480987834e+03,1.018360424297950772e+03
1.557802204138274647e+03,1.024237897874755390e+03
1.555247220787994593e+03,1.030713001675712576e+03
1.552939346392130346e+03,1.037290461356971946e+03
1.551003548099390855e+03,1.044022040006381530e+03
1.547994780908241637e+03,1.050309180386065236e+03
1.543994506053734540e+03,1.056185624844388940e+03
1.540006033992321136e+03,1.062066958179685798e+03
1.536033825437047881e+03,1.067955028079799376e+03
1.532241011668121246e+03,1.073917405733434407e+03
1.527413108946844659e+03,1.079451035504744141e+03
1.523672623461281319e+03,1.085435088243045129e+03
1.518951988350913552e+03,1.091013149713596249e+03
1.514985138352429658e+03,1.096903439200605362e+03
1.510326878649700575e+03,1.102507337410958826e+03
1.508004209169679598e+03,1.109078668767705267e+03
1.506853366380862326e+03,1.116135386632698783e+03
1.505069896038093020e+03,1.122930061584913574e+03
1.502940385714077138e+03,1.129581402083774947e+03
1.500988694047492800e+03,1.136306397482185275e+03
1.496876522242057717e+03,1.142136492705845740e+03
1.492172658955046245e+03,1.147721501293098072e+03
1.488413551690032818e+03,1.153697840637794798e+03
1.483585078753835887e+03,1.159231234218351801e+03
1.479865600187982636e+03,1.165223988307700665e+03
1.475131225446358485e+03,1.170796358636642253e+03
1.471018628291988762e+03,1.176626277675006349e+03
1.466642142984457905e+03,1.182346890662142187e+03
1.462068461282264025e+03,1.187985822228324196e+03
1.458156887742607523e+03,1.193898967854544708e+03
1.453541015936178155e+03,1.199602699660710414e+03
1.447630960819647044e+03,1.203526531901037743e+03
1.441711589127199431e+03,1.207423180369180045e+03
1.435789888240379241e+03,1.211314613997079732e+03
1.430012162142350917e+03,1.215221321256945657e+03
1.426999799074147859e+03,1.221507506040298495e+03
1.423985293137178360e+03,1.227794762170235799e+03
1.418950231668490233e+03,1.232096986827136561e+03
1.412728546052505408e+03,1.235261726384835129e+03
1.406395031689828556e+03,1.238342408650530388e+03
1.403311742614786908e+03,1.244676405393929826e+03
1.400119882504148563e+03,1.250882650219673224e+03
1.394044467539213656e+03,1.253003334334350257e+03
1.386486366143469240e+03,1.252944273356238227e+03
1.380451352105394335e+03,1.256561882661876552e+03
1.375115002903226014e+03,1.261866063362878322e+03
1.369785592551435457e+03,1.267186995088299909e+03
1.362992172899365414e+03,1.268973495976956883e+03
1.356501636223202695e+03,1.271491221070657048e+03
1.350301497779923011e+03,1.274710029516624445e+03
1.344086569086996633e+03,1.277893131141306412e+03
1.338469589831467374e+03,1.282519810407364503e+03
1.333149107034791314e+03,1.287862295445580230e+03
1.327748620834639041e+03,1.293011635182086820e+03
1.320209637099017982e+03,1.292998185165363338e+03
1.313064848314224946e+03,1.293936405945152501e+03
1.307153744835410407e+03,1.297853006522333317e+03
1.301531278545083069e+03,1.302466438914561650e+03
1.295032314886962013e+03,1.304963819474070306e+03
1.288364542439202751e+03,1.307053659599318507e+03
1.281653699637999352e+03,1.309039522095228904e+03
1.274100897231597628e+03,1.308992697255635221e+03
1.266569268954154268e+03,1.308997024222455366e+03
1.259037420410083996e+03,1.309000804419426913e+03
1.251504568626229002e+03,1.309002151194467842e+03
1.243971026892126019e+03,1.309001827249489452e+03
1.236437108497312238e+03,1.309000595286402131e+03
1.228903126731324846e+03,1.308999218007116497e+03
1.221369394883701489e+03,1.308998458113543620e+03
1.213836183198183107e+03,1.308998971856045955e+03
1.206303294057190669e+03,1.309000258471613961e+03
1.198770242765390549e+03,1.309001107258653519e+03
1.191236558884176702e+03,1.309000347331106468e+03
1.183702651050256236e+03,1.308999199314649559e+03
1.176169713155381487e+03,1.309000693348626328e+03
1.169030085907632383e+03,1.308050090188642116e+03
1.165007680658036861e+03,1.302170554714558648e+03
1.163974465101615579e+03,1.295060851978135815e+03
1.157425301044587741e+03,1.292664392901292331e+03
1.155154322388886158e+03,1.285994874268003514e+03
1.149675265538856138e+03,1.280730996691243490e+03
1.149054686856409944e+03,1.273449862838899890e+03
1.144138145849088232e+03,1.269128978907138389e+03
1.137040787156809529e+03,1.268064050989326688e+03
1.131720939818816305e+03,1.262720052513296878e+03
1.126394590234477164e+03,1.257391730993901547e+03
1.120468375795153179e+03,1.253511541360119963e+03
1.113373384438300491e+03,1.252464605583196089e+03
1.108997217619837329e+03,1.246685581546162211e+03
1.108998139790575351e+03,1.239151976717262869e+03
1.109001972368007500e+03,1.231616792478768502e+03
1.108323131506827167e+03,1.224365390099801743e+03
1.102788245128483595e+03,1.221075828668671420e+03
1.101001356390909905e+03,1.214672239721700180e+03
1.101002409274425190e+03,1.207138999761801642e+03
1.100996747953829299e+03,1.199610467866886211e+03
1.101000234432620573e+03,1.192073657585288856e+03
1.101002161079162079e+03,1.184538996276688067e+03
1.100962720448771961e+03,1.177022750683084723e+03
1.097799756464345819e+03,1.170799435303263181e+03
1.094600108815002841e+03,1.164591360270613677e+03
1.091470911785194403e+03,1.158354103563324998e+03
1.086059637426887548e+03,1.153062114235975287e+03
1.084992732337471580e+03,1.145970628237498431e+03
1.084995470815321369e+03,1.138436081366549388e+03
1.085055085591099441e+03,1.130877975561623998e+03
1.082543816526914497e+03,1.124384764710497620e+03
1.078640485372091007e+03,1.118468164856977637e+03
1.074727766073518069e+03,1.112555453699924783e+03
1.070794337808086766e+03,1.106651320477807303e+03
1.066022378311090051e+03,1.101094518264278122e+03
1.060954194349266118e+03,1.095660416241586518e+03
1.061006149295248861e+03,1.088105483242046603e+03
1.060707293226090542e+03,1.080695860922808379e+03
1.057493111868789583e+03,1.074493805876649049e+03
1.054280139988357860e+03,1.068291249848766711e+03
1.051110587306065099e+03,1.062070709000147417e+03
1.048023000601750937e+03,1.055816216731796658e+03
1.044947616588430719e+03,1.049556669943339330e+03
1.044991929295268392e+03,1.042004902462900645e+03
1.045003665184199008e+03,1.034466628742258081e+03
1.042140551499753883e+03,1.028119156704691022e+03
1.039033781318102911e+03,1.021872610492825970e+03
1.037010415216383990e+03,1.015177303617524331e+03
1.037005676497016111e+03,1.007645853903072407e+03
1.036382919758437993e+03,1.000370395633970929e+03
1.031756883325416993e+03,9.947531501082784189e+02
1.029002156772584840e+03,9.883607826508099379e+02
1.028997763111247878e+03,9.808291900086443320e+02
1.027162780338610673e+03,9.740558522035107671e+02
1.021765355607396828e+03,9.687581261727868878e+02
1.016424368591056918e+03,9.634370228751313334e+02
1.013013113951675223e+03,9.573165982551918205e+02
1.013001688173977868e+03,9.497879184109920061e+02
